City,Departure_Date,Return_Date,Picture_Path,Price,Num_Stops,Duration_Hours,Duration_Minutes,Lodging_Cost,Description
Nagoya,May 2,May 9,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQ_q6xHbAYXSBmwPjefvTB9ej-EwgcoKCXx1AbgJpsd8_8Er9OtzHR-sXyuy-I6PDP2_oDzJJOx6GSacWBFxFORJEo0yTqWWjePxesDUL8,744,1,14,25,80,"In 1610, the warlord Tokugawa Ieyasu, a retainer of Oda Nobunaga, moved the capital of Owari Province from Kiyosu to Nagoya. This period saw the renovation of Nagoya Castle. The arrival of the 20th century brought a convergence of economic factors that fueled rapid growth in Nagoya, during the Meiji Restoration, and became a major industrial hub for Japan. The traditional manufactures of timepieces, bicycles, and sewing machines were followed by the production of special steels, ceramic, chemicals, oil, and petrochemicals, as the area's automobile, aviation, and shipbuilding industries flourished.[5] Nagoya was impacted by bombing from US air raids during World War II. In the mid-20th century, Nagoya's economy diversified, the Tokaido Shinkansen was built in 1964 connecting Tokyo and Osaka converges on Nagoya.
"
Hakone,Feb 24,Mar 2,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTu36Jhw0PwBzLTnP_XONhPT7GMhRiS21hVPItTIyFl-19yECAPFqQ97ZARx4VywWIKMx19h9FWpL_9IoVtcA6R9fxP6YuKT6XKVVnz7Xs,552,1,15,20,189,"Hakone is located in the mountains in the far west of the prefecture, on the eastern side of Hakone Pass. Most of the town is within the borders of the volcanically active Fuji-Hakone-Izu National Park, centered on Lake Ashi.
"
Kanazawa,Jan 28,Feb 3,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRKeZRMoZ4KZy3jn-YoUMLs9qtgnMtWhHqeugj0PRLVbZt9H0yXtmBig5N50fCGky8kcyGDCqVe3otBsC7IAZzOpJqx_TPjOhp5PeS3PmY,"1,184",1,16,30,62,"Kanazawa is located in north-western Ishikawa Prefecture in the Hokuriku region of Japan and is bordered by the Sea of Japan to the west and Toyama Prefecture to the east. The city sits between the Sai and Asano rivers. The eastern portion of the city is dominated by the Japanese Alps. Parts of the city are within the borders of the Hakusan National Park.
"
Itsukushima,Apr 7,Apr 13,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQDQx-zLJ7NHUlsPvB5mB-8j8g_L6Rwo4xqo5aX83aEMzQ-t5SI0E2sDrq8xILnUDL0bHTYwo9Dgvq1VmoZGick6sRs1EpBQL30onqDYLM,707,1,16,15,178,"Itsukushima is famous for the Itsukushima Shrine, a UNESCO World Heritage Site.[2] According to records, the shrine was established in the time of Empress Suiko. The warrior-courtier Taira no Kiyomori gave the shrine its present form. In 1555, Mōri Motonari defeated Sue Harukata at the Battle of Miyajima. Toyotomi Hideyoshi built a large building, the Senjō-kaku, on a hill above the shrine.
"
Ulaanbaatar,Mar 26,Apr 2,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRrYWUj1g169NMSC1DPv4QHlFEHRPiP5SgPBXp0-OgizEnv_udKy13spPAvUGm4bu7LKlYfmZchYo7hAy3EHXm_g3rqrVyjkBcRaW7JsLc,"1,618",2,51,19,64,"Ulaanbaatar (/ˌuːlɑːn ˈbɑːtər/; Mongolian: Улаанбаатар, [ʊɮɑːm.bɑːtʰɑ̆r], lit. ""Red Hero""), previously anglicized as Ulan Bator, is the capital and most populous city of Mongolia. The municipality is located in north central Mongolia at an elevation of about 1,300 metres (4,300 ft) in a valley on the Tuul River. The city was originally founded in 1639 as a nomadic Buddhist monastic centre, changing location 28 times, and was permanently settled at its current location in 1778.
"
Chongqing,Apr 7,Apr 13,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTH6bB-UJTstrQpKaUTMh_tZ0swulixQaQJ4lJZ_GNpw4XwSqZKkvR4GkfF4uqEmSFL71O2vmn-xhEgSayPbdupsAKtMfBvoyr6FmzVPTc,"1,574",2,22,15,27,"Chongqing (/ˈtʃɔːŋˌtʃɪŋ/ CHAWNG-ching;[9][10] simplified Chinese: 重庆; traditional Chinese: 重慶; pinyin: Chóngqìng; Sichuanese pronunciation: [tsʰoŋ˨˩tɕʰin˨˩˦], Standard Mandarin pronunciation: [ʈʂʰʊ̌ŋ.tɕʰîŋ] (listen)), alternately romanized as Chungking, is a municipality in southwest China.
"
Niseko,Mar 10,Mar 19,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQryJZmkGKkm88JcawSmVmuh_cZduqXK27fBOJ80ByU-CMe-TlZH258udvuNpWVE1SKZm0KSFFLQQjxGYm2Qlk-qY9x1-711j-47hqWDkU,711,1,17,10,186,"Niseko (Japanese: ニセコ町, Niseko-chō, [ɲ̟iseko tɕoː]) is a town located in Shiribeshi Subprefecture, Hokkaido, Japan. To Japanese people, Niseko principally refers to a mountain range and a municipal area. However, overseas the name has come to refer to a wider area of ski resorts encompassing Hokkaido's Mount Yōtei, often referred to as the ""Mt. Fuji of Hokkaido"", and Annupuri ranges. The name Niseko derives from the Ainu language, and it means ""a cliff jutting over a riverbank deep in the mountains"".[citation needed] The Niseko town's main industries are agriculture and tourism. The resort itself, Niseko United, is part of the Mountain Collective. Moreover, the town is renowned for its quality powder snow and world-class facilities, including traditional onsen and restaurants.
"
Kobe,May 12,May 18,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSzGBow0L6ls6rhZS57zKj_k3Zz9aSW050KejrHTHva4w62prYFaOSVFyJOS30Jhja8vULvj0Xv2IGJ7wCrO9z179_6BvFNorSmZTmccm8,591,1,14,10,99,"The earliest written records regarding the region come from the Nihon Shoki, which describes the founding of the Ikuta Shrine by Empress Jingū in AD 201.[4][5] For most of its history, the area was never a single political entity, even during the Tokugawa period, when the port was controlled directly by the Tokugawa shogunate. Kobe did not exist in its current form until its founding in 1889. Its name comes from Kanbe (神戸, an archaic title for supporters of the city's Ikuta Shrine).[6][7]  Kobe became one of Japan's designated cities in 1956. 
"
Suzhou,Apr 7,Apr 13,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSglrLDalVAt0AC3icpMWjWQ37iE9aYF_yNM2XeyMUWuJcVdACNfJVwAoY9uNUuzAMjbYt0w22Kfz06q5TgHU_0L-ADUzOiRW22q1LDubo,911,1,21,0,37,"CNY 2.272 trillionUSD $352.22 billionPPP $528.42 billion
"
Kamakura,Feb 24,Mar 2,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcS6-3XjIUu6zP4LqnBnML0wR95ca7diLJOH1i5bUs0vkrl2EdFEvOy-PdHoFdhmgK7oNpbaazVRg6AJJ6d-bDkmUihHwR932LXCgAd-vE8,552,1,15,20,113,"Kamakura has an estimated population of 172,929 (1 September 2020) and a population density of 4,359 persons per km² over the total area of 39.67 km2 (15.32 sq mi). Kamakura was designated as a city on 3 November 1939.
"
Nanjing,Apr 7,Apr 14,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSLGrroOAagvoPU5Uh4NWHhzZlzlMEOyht0nUPs6yaNnO6Hz9xHktH34-5GoUmHF79HKOOiTzpSNR9lPX_YHgCg-8UnIlTSdkg2HW2Xe-8,"1,596",2,34,15,55,"Situated in the Yangtze River Delta region, Nanjing has a prominent place in Chinese history and culture, having served as the capital of various Chinese dynasties, kingdoms and republican governments dating from the 3rd century to 1949,[9] and has thus long been a major center of culture, education, research, politics, economy, transport networks and tourism, being the home to one of the world's largest inland ports. The city is also one of the fifteen sub-provincial cities in the People's Republic of China's administrative structure,[10] enjoying jurisdictional and economic autonomy only slightly less than that of a province.[11] Nanjing has been ranked seventh in the evaluation of ""Cities with Strongest Comprehensive Strength"" issued by the National Statistics Bureau, and second in the evaluation of cities with most sustainable development potential in the Yangtze River Delta. It has also been awarded the title of 2008 Habitat Scroll of Honor of China, Special UN Habitat Scroll of Honor Award and National Civilized City.[12] Nanjing is also considered a Beta (global second-tier) city classification, together with Chongqing, Hangzhou and Tianjin by the Globalization and World Cities Research Network,[13] and ranked as one of the world's top 100 cities in the Global Financial Centres Index.[14]
"
Nikko,Mar 24,Mar 30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSajqVcJL_fG5BBPdxN3skRT9YytuM3jb5TbPqX1yfqeSif703r4WHsxBNOaMpFKb3aXeZYJSLkw10IAHs5BBZDljUD5LGMuueaAl0q2NE,552,1,16,20,158,"Nikko may refer to:
"
Nagasaki,Jan 28,Feb 3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ2thh38SomNg0CYwjxN0bqWipl_jLM_AmCxOkEfSaDwmBXDN3EwvfX4irlze0SQvLnrXN3Ia6kQrtppfz_qFW6YvmRja_M6gMiwU0JGVc,"1,214",1,16,15,62,"Nagasaki (Japanese: 長崎, ""Long Cape"") is the capital and the largest city of Nagasaki Prefecture on the island of Kyushu in Japan.
"
Takayama,May 12,May 18,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcScvVhHXwtACXWWcTI2ZEBke9XLvvzCmsGARfjOV5huGjg4UgOtaVK7K4vOf-qdCvdtEVcTknWTaoXFsIdHtRMgkNXdkKoAwD3BbeYGeOw,744,1,14,25,132,"Takayama may refer to:
"
Kunming,Apr 7,Apr 13,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRw9dB4szv0ryjo7AFwWfG7FMP-mJEKoEa8szAY_uJrdrd42GuTbAkiBLL2Kdpq--od2DtvwNcM1rGKZQ-LGDX65Y6HfdYV43gPmoWaJLc,"1,456",2,27,10,38,"Kunming (/kʊnˈmɪŋ/;[6] Chinese: 昆明; pinyin: Kūnmíng), also known as Yunnan-Fu, is the capital and largest city of Yunnan province, China.[7] It is the political, economic, communications and cultural centre of the province as well as the seat of the provincial government. The headquarters of many of Yunnan's large businesses are in Kunming. It was important during World War II as a Chinese military center, American air base, and transport terminus for the Burma Road. In the middle of the Yunnan–Guizhou Plateau, Kunming is at an altitude of 1,900 metres (6,234 feet) above sea level and a latitude just north of the Tropic of Cancer. As of 2020 census, Kunming had a total population of 8,460,088. As of the 2018 estimation, its urban population was 4,089,100.[3] and its built-up (or metro) area made of all urban districts but Jinning, not conurbated yet, was home to 3,779,900 inhabitants. It is at the northern edge of Dian Lake, surrounded by temples and lake-and-limestone hill landscapes.
"
Chiba,Feb 24,Mar 2,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSCuvDNOA1vuIR7-bxaRjwOKe8HgP7k8qz1jiC8fg8q3oJtGynFxHiNXVS3GJXrHT_msdlYVkiFwa3e0FaMiaOBC65juVe68a5DOcENooQ,552,1,15,20,65,"Chiba may refer to:
"
Nagano,Mar 24,Mar 30,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTO7iqfIqwWtTky23X8H1p4EzjQpUqHzpfSFTbrhbfYfM9Vx4jUhS8Yaf230f_crEHDScI4oqSXp_T9U83mEmi7pk9E_5aB7cY3H_M5F0A,552,1,16,20,90,"Nagano may refer to:
"
Incheon,Feb 3,Feb 10,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSJqf2Yf2-GkCxQK-V7ROziEpCMYGQq8LujOd95Pel_1hQbiPpVsD5v2U8rHt89bQL7NeYRSUtOIyxcZCFiYmV7WqB5hWA2HJE2LUNRXIE,797,1,16,40,58,"Incheon (Korean: 인천; Hanja: 仁川; Korean pronunciation: [intɕʰʌ̹n]; McCune-Reischauer romanization Inch'ŏn; literally ""kind river""), formerly Jemulpo (제물포; McCune-Reischauer: Chemulp'o) until the period after 1910, officially the Incheon Metropolitan City (인천광역시), is a city located in northwestern South Korea, bordering Seoul and Gyeonggi to the east. Inhabited since the Neolithic, Incheon was home to just 4,700 people when it became an international port in 1883. Today, about 3 million people live in the city, making it South Korea's third most-populous city after Seoul and Busan.
"
Kaohsiung City,May 2,May 9,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTdLkeLRMgon67o45i8W4fI98cNy6qmEDxQvbANBnDvGp-Fr9U0hvW8AnNeHY8sOIwc0MnZGz4UjQ0dNzw-Dwq5ChqrebgEkoBF4C1Ishg,721,1,18,55,55,"Kaohsiung City[I] (/ˌkaʊˈʃʌŋ/; Mandarin Chinese: [káuɕjʊ̌ŋ] (listen); Wade–Giles: Kao¹-hsiung²) is a special municipality in southern Taiwan. It ranges from the coastal urban centre to the rural Yushan Range with an area of 2,952 km2 (1,140 sq mi). Kaohsiung city has a population of approximately 2.77 million people and is Taiwan's third most populous city and largest city in southern Taiwan.[4]
"
Vancouver,Feb 10,Feb 16,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRtyUraT3KUzJ5zxdZvkDJ3zK8TWmbs0NXV2La5SVre5qNA8nAXvULh8II9eJb5CQbyo9bIZmL64zya_HkAry1Jj9V-PKrn6kccsVInnlQ,152,0,2,59,120,"Vancouver (/vænˈkuːvər/ (listen) van-KOO-vər) is a major city in western Canada, located in the Lower Mainland region of British Columbia. As the most populous city in the province, the 2016 census recorded 631,486 people in the city, up from 603,502 in 2011. The Greater Vancouver area had a population of 2,463,431 in 2016, making it the third-largest metropolitan area in Canada. Vancouver has the highest population density in Canada, with over 5,400 people per square kilometre.[6][7] Vancouver is one of the most ethnically and linguistically diverse cities in Canada: 52 percent of its residents are not native English speakers,[8][9] 48.9 percent are native speakers of neither English nor French, and 50.6 percent of residents belong to visible minority groups.[10]
"
Toronto,Feb 10,Feb 17,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ1A0lii7PImIB0qJbQ2LBOAVUn55U72kP3hlm8xDJC1mv7NPsI6tLoO6pi9C5Y9d5XdYDcq-IalEvJ_vGPYpOnh21_8QaLnmdMJoEFjhM,239,1,4,37,125,"Toronto (/təˈrɒntoʊ/ (listen), locally /ˈtrɒnoʊ, -nə/)[13][14][15] is the capital city of the Canadian province of Ontario. With a recorded population of 2,731,571 in 2016,[16] it is the most populous city in Canada and the fourth most populous city in North America. The city is the anchor of the Golden Horseshoe, an urban agglomeration of 9,245,438 people (as of 2016) surrounding the western end of Lake Ontario,[17] while the Greater Toronto Area proper had a 2016 population of 6,417,516. Toronto is an international centre of business, finance, arts, and culture, and is recognized as one of the most multicultural and cosmopolitan cities in the world.[18][19][20]
"
Montreal,May 1,May 7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT0nr7od_Cdaqks_wQfdxMHJW-8-gZsOgqhUZvPwXdgR4q_veKe1Z99VfWSVS_GKBXZPcHNQ0GofPG-FwzhPW-qKtlxGIfBS6p5gYStIE0,352,0,5,20,142,"Montreal (/ˌmʌntriˈɔːl/ (listen) MUN-tree-AWL; officially Montréal, French: [mɔ̃ʁeal] (listen)) is the second-most populous city in Canada and most populous city in the Canadian province of Quebec. Founded in 1642 as Ville-Marie, or ""City of Mary"",[15] it is named after Mount Royal,[16] the triple-peaked hill in the heart of the city. The city is centred on the Island of Montreal, which obtained its name from the same origin as the city,[17][18] and a few much smaller peripheral islands, the largest of which is Île Bizard. The city is situated 196 km (122 mi) east of the national capital Ottawa, and 258 km (160 mi) southwest of the provincial capital, Quebec City.
"
Whistler,Feb 10,Feb 16,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTBL0NCEoP5f1yrEpSdNkoKFVMP2mwq5gXwm_CfZZp5zBeOxymh8TRSXApdNZc_1e7Bz39j4VBJxqXQTYAvHfVjQ5Tc6bP90wvZeRxplaw,152,0,2,59,355,"Whistler may refer to:
"
Quebec City,Apr 4,Apr 11,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQK5ojMyUfI5zv3wUrI0444upjOPgKfSdLHF8xRlW9Fu9aHmcBqJtSNOfGskmBUuCww41l4yuNf4f7uVUuDDnTyE_f0JdY9HQhw32KjJ_8,310,1,9,8,125,"Quebec City (/kwɪˈbɛk/ (listen) or /kəˈbɛk/;[11] French: Ville de Québec), officially Québec ([kebɛk] (listen)),[12] is the capital city of the Canadian province of Quebec. As of July 2016, the city had a population of 531,902,[13] and the metropolitan area had a population of 800,296.[14] It is the eleventh-largest city and the seventh-largest metropolitan area in Canada. It is also the second-largest city in the province after Montreal. It has a humid continental climate with warm summers coupled with cold and snowy winters.
"
Calgary,Mar 3,Mar 9,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTcNSUvBVq4C1qPwUnebqMz0Dqsjk-UtzwCE8KxjqanWUITiLt7jF0XRlP5n3Ny8n3fGuGvQCimuS4unzRzndjJecc5OJWmPa2ADA5j8gQ,250,0,3,9,106,"Calgary (/ˈkælɡəri/ (listen) KAL-gər-ee) is a city in the western Canadian province of Alberta. With a population of 1,239,220, Calgary is the most populous city in Alberta, and the third most populous city in Canada after Toronto and Montreal. The Calgary Metropolitan Region is the second largest population centre in Western Canada, after Greater Vancouver.
"
Victoria,Feb 10,Feb 16,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcR7pKYXJe-cbsfn0Ga7iHwrYb3d4PhWEdkJn0SfVICKT3ZUerYCrEb3G0-cKKDP6WmIXSqcNTa8JjBoqYgS9MP0yTZtCKmuBS1NfJl26Kk,152,0,2,59,127,"Victoria may also refer to:
"
Ottawa,May 7,May 13,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQBhf_R9FCgUah2u_m5juJuUdNyGqkurLdcpUNbM2Lv-ghEyePKr0K-TRcCZ1is9u8ZluQfq2GJIiqk3k26oQaMjjWAXC8X9B1BpjOv22w,329,2,11,30,133,"Ottawa (/ˈɒtəwə/ (listen), /ˈɒtəwɑː/; Canadian French pronunciation: ​[ɔtawa]) is the capital city of Canada. The city is located on the south bank of the Ottawa River in the eastern portion of southern Ontario. Ottawa borders Gatineau, Quebec, and forms the core of the Ottawa–Gatineau census metropolitan area (CMA) and the National Capital Region (NCR).[12] As of 2016, Ottawa had a city population of 934,243 and a metropolitan population of 1,476,008, making it the fourth-largest city and fifth-largest CMA in Canada. In June 2019, the City of Ottawa estimated it had surpassed a population of one million.[13]
"
Banff,Mar 3,Mar 9,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcR3mggB81C2ptKgNdD75fElgC-Kqx7KbSGIvFcDn1HWFHGrJG-aVBz6n0KothKDoGyEb4eFRLdtLXI1x5jbnJAPwkwLNn1KrjE8lCowM_8,250,0,3,9,130,"Banff may refer to:
"
Niagara Falls,Feb 17,Feb 24,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVwpCBafJpCotC5OcAK2arKuN7LUfDbgLKjBZ49eg0FSrFtJc_X45dI-Al4-WpEJMuHuCf7_ZYomiBOS5pyLlCz0lJR08z9qZSR9eGy8o,218,0,4,41,91,"Niagara Falls (/naɪˈæɡrə, naɪˈæɡərə/) is a group of three waterfalls at the southern end of Niagara Gorge, spanning the border between the province of Ontario in Canada and the state of New York in the United States. The largest of the three is Horseshoe Falls, also known as the Canadian Falls, which straddles the international border of the two countries.[1] The smaller American Falls and Bridal Veil Falls lie within the United States. Bridal Veil Falls is separated from Horseshoe Falls by Goat Island and from American Falls by Luna Island, with both islands situated in New York.
"
Edmonton,May 1,May 7,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQHudfqCTGQ175yvtrGLbbItDI7d-W3uTrtlDKZpmTCjKEGnMS9JFN4MuQiaSdxqvOuRgWko-cUFDesaDsmmab_Vz9W0j1Nfr-Qc_gLD78,175,1,6,31,98,"Edmonton (/ˈɛdməntən/ (listen) ED-mən-tən) is the capital city of the Canadian province of Alberta. Edmonton is on the North Saskatchewan River and is the centre of the Edmonton Metropolitan Region, which is surrounded by Alberta's central region. The city anchors the north end of what Statistics Canada defines as the ""Calgary–Edmonton Corridor"".[15]
"
Vancouver Island,Apr 3,Apr 9,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRxpdJGvvhTeylYCfJFKpBNM2lgIGtCDK5jeNgDnKizS-ZBTsmg8VxYHE0xXuk6plmx2DWJAmPI_Sv96S82_mwZV6JfDHyh04ieixmG_BY,268,1,5,57,147,"The southern part of Vancouver Island and some of the nearby Gulf Islands are the only parts of British Columbia or Western Canada to lie south of the 49th parallel. This area has one of the warmest climates in Canada, and since the mid-1990s has been mild enough in a few areas to grow Mediterranean crops such as olives and lemons.[5]
"
Winnipeg,Apr 21,Apr 27,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQ9BakZQA7Vlcg1WuCVPPrWeOvvqhPln15xHKYyz61AKFOEJXDL_NA2_W14MGt-joGMwxpRsp15AVAx8tG-x3jy0bty68OAQ-DRPSOyDVM,328,1,6,7,113,"Winnipeg (/ˈwɪnɪpɛɡ/ (listen)) is the capital and largest city of the province of Manitoba in Canada. It is centred on the confluence of the Red and Assiniboine rivers, near the longitudinal centre of North America.
"
Lake Louise,Mar 3,Mar 9,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTnJA4tnjFYav2oyP8bnuun5ws14SXc5DrgJRHyfHQPPM-NEJjkiz_jpWyR2vizbHyGm3dI8whPIB4ozyTB5BvAOa3aQssCffOAC7AV5a4,250,0,3,9,130,"Lake Louise may refer to:
"
Kelowna,Apr 21,Apr 27,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSwdVjGtqPRm2gCcDir3Gg2N9G6fyG0ktkK9nYOBLM_RBq4B0RYUzUi18LtLEJaJoN4IvgRVc-LLTueB5nSkld3a52IGWzJixEXRH1mg6k,293,1,6,10,129,"Kelowna (/kəˈloʊnə/ (listen) kə-LOH-nə) is a city on Okanagan Lake in the Okanagan Valley in the southern interior of British Columbia, Canada. It serves as the head office of the Regional District of Central Okanagan. The name Kelowna derives from the Okanagan word kiʔláwnaʔ, referring to a male grizzly bear.[7][8]
"
Jasper National Park Of Canada,Mar 3,Mar 9,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRe5-tIy9EKXwwfjWU67cmG7bN6eEmxBaHP_20WT3FnJOATstWY8CCtcI6gFV4JT8lnhiiaae97F9AOBPF7_zzh5PWU8wAUms0AUvdmGLc,184,1,3,20,112,
St. John's,May 5,May 11,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTgNLHkKcegbYvOWD_c6IKKHfN0_OEIXSZvgERvsWOHldvSp6Z1N0BlN35NJyFiNqe62bVjnmJCSX4yJYuB4XI85xQJFEvRCeTmN8chNrM,422,2,11,14,117,"Saint John's or St. John's may refer to:
"
Squamish,Feb 10,Feb 16,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTlSdF2C3eppVvmznNmdD0ZLbSUKsSiNIqATgQb2stXTxkQ1c7hSgdQzVTbd8glQn4Do2SZV-Mqu80MzskBkiOdzLamSaq6AYZz7DAs36c,152,0,2,59,127,"Squamish may refer to:
"
Algonquin Provincial Park,Mar 24,Mar 30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQpGlKFzZ8dLSXzOdwE27BuUqil4ZV2a6iqA9LvmttRO2ZAtriLq1x7LdZEQe3vtSkcpS6d5XlnALcCSG3mFQBDOA9dE4Yju25yletIla8,239,0,4,37,103,"Its size, combined with its proximity to the major urban centres of Toronto and Ottawa, makes Algonquin one of the most popular provincial parks in the province and the country.  Highway 60 runs through the south end of the park, while the Trans-Canada Highway bypasses it to the north.[3] Over 2,400 lakes and 1,200 kilometres of streams and rivers are located within the park.  Some notable examples include Canoe Lake and the Petawawa, Nipissing, Amable du Fond, Madawaska, and Tim rivers. These were formed by the retreat of the glaciers during the last ice age.
"
Mont-Tremblant,May 5,May 11,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRzh9i1i762CpkCimMTxVrYwbKcwapnOLZ8Ol68GKuQj8S2iuVKD5UjG6ZrTMOoC3IblC0ETEvTkr_VYLyenAcQNmnGU0NaAWv0aY9u_kg,352,0,5,20,139,"Mont-Tremblant has a race track called Circuit Mont-Tremblant. It has hosted or currently hosts Formula One, Can-Am, Trans-Am, and Champ Car World Series competitions and Ironman triathlon, Quebec.[5]
"
Peyto Lake,Mar 3,Mar 9,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcS9VObPhy4nukFAXkoGeGrD3_VLxTCmH-Horsv81Rzx0GMoLsZO56JrBHRDykNRfmIEZ9rC07HtvEtNUvpthXd6dqSLm809g1X2CtcUHew,250,0,3,9,167,"The lake is formed in a valley of the Waputik Range, between Caldron Peak, Peyto Peak and Mount Jimmy Simpson, at an elevation of 1,860 m (6,100 ft).[2]
"
Hamilton,Feb 10,Feb 17,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjNrhOClevHIWK4WRHO0-d1Ihny-JlgUAWNZC0Wz8O7twUWfJXpddNF3HKDV4BaAd5RXLKHLDkV_OT-Yo3dKak0xc-HjxGzaGiYRhe4R0,239,1,4,37,129,"Queensland
"
Kingston,Feb 10,Feb 17,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSlXwB1_htgV3VIb8Fz4JS5L925qkcKRTQaPpbk7tqFmR04JJlYq6MUhJVo_8SKNOZMLZaqFHNsoPypSdQD7RC3U-maAtpXuM2Zvzwe5nE,239,1,4,37,121,"Kingston may refer to:
"
Yoho National Park Of Canada,Mar 3,Mar 9,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSfS2sztb90SySa470ihzrxX4K50uBrPg7zPpFB9IMu2fY0BsQOK7eaQoDMLnsjgx1hEMpo3JvnPKsC_dH4HBP3L8I8gs55vRq5ROmKg0E,250,0,3,9,117,
Niagara-on-the-Lake,Feb 17,Feb 24,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRzjMHgGgsvzHy306yL1L_82EchmfOdi5bCdQl0Dhaew9a2a3xvWqV7adpXf3RDTaE7OBVGX3vNy5unb5rCzyB50ulVFqz2-aymcjl9PPw,218,0,4,41,143,"Niagara-on-the-Lake is a town in Ontario, Canada. It is located on the Niagara Peninsula at the point where the Niagara River meets Lake Ontario, across the river from New York, United States. Niagara-on-the-Lake is in the Niagara Region of Ontario and is the only town in Canada that has a lord mayor.[3] It has a population of 17,511 (2016).
"
Saskatoon,Apr 14,Apr 20,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRt_qmeioMfOFpEhCXYVK9lwyNbqaCyQkwbUvNkIgnWqtrJuVBq6CCF43tlNGRvy95leqN3FlOrX3uNICcOZKD4iWINLiuHqlCvtMCTRUc,339,1,5,44,110,"Saskatoon (/ˌsæskəˈtuːn/) is the largest city in the Canadian province of Saskatchewan. It straddles a bend in the South Saskatchewan River in the central region of the province. It is located along the Trans-Canada Yellowhead Highway, and has served as the cultural and economic hub of central Saskatchewan since its founding in 1882 as a Temperance colony.[10]
"
Whitehorse,Apr 15,Apr 21,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTshzUdpfbFReFcci2eII0XCSl-NSygrrBEFeIOYQjpgBDA-keCCocn8xiHsLIUUI_RYweQnvJVApK_Wo1IHs_sDCHrpzfqNJsjoy6rUpc,361,1,7,49,126,"Because of the city's location in the Whitehorse valley and relative proximity to the Pacific Ocean, the climate is milder than comparable northern communities such as Yellowknife.[4] At this latitude winter days are short and summer days have up to about 19 hours of daylight.[5][6] Whitehorse, as reported by Guinness World Records, is the city with the least air pollution in the world.[7]
"
Richmond,Feb 10,Feb 16,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSyHmkUm61zO45CDXaWTTl7_vc9yQUA8i1SiQW0MPucdr6GFcE3CkCN7LW4syXpMo8WSlrLJmPc_2N-xqusLKF1Gpdi12Amiwmoy4Pnkxc,152,0,2,59,113,"Richmond may also refer to:
"
